lat,long,type,loc,
37.77989471,-122.3891676,curb_ramp,"[37.77989471,-122.3891676]",
37.77982578,-122.3892471,curb_ramp,"[37.77982578,-122.3892471]",
37.78564962,-122.4011269,curb_ramp,"[37.78564962,-122.4011269]",
37.76307677,-122.4640187,curb_ramp,"[37.76307677,-122.4640187]",
37.77617761,-122.4069721,curb_ramp,"[37.77617761,-122.4069721]",
37.77098165,-122.410676,curb_ramp,"[37.77098165,-122.410676]",
37.78347918,-122.4709755,curb_ramp,"[37.78347918,-122.4709755]",
37.77391155,-122.4745469,curb_ramp,"[37.77391155,-122.4745469]",
37.7648586,-122.4242264,curb_ramp,"[37.7648586,-122.4242264]",
37.77526594,-122.4767955,curb_ramp,"[37.77526594,-122.4767955]",
37.76144103,-122.4267579,curb_ramp,"[37.76144103,-122.4267579]",
37.75914698,-122.4363992,curb_ramp,"[37.75914698,-122.4363992]",
37.75683623,-122.4056974,curb_ramp,"[37.75683623,-122.4056974]",
37.75695151,-122.405704,curb_ramp,"[37.75695151,-122.405704]",
37.78299449,-122.4827292,curb_ramp,"[37.78299449,-122.4827292]",
37.75435278,-122.4061545,curb_ramp,"[37.75435278,-122.4061545]",
37.75370228,-122.4200478,curb_ramp,"[37.75370228,-122.4200478]",
37.76219597,-122.4834084,curb_ramp,"[37.76219597,-122.4834084]",
37.7398529,-122.4818465,curb_ramp,"[37.7398529,-122.4818465]",
37.78091358,-122.4900991,curb_ramp,"[37.78091358,-122.4900991]",
37.75845821,-122.4895963,curb_ramp,"[37.75845821,-122.4895963]",
37.77725951,-122.4964213,curb_ramp,"[37.77725951,-122.4964213]",
37.75821423,-122.5015372,curb_ramp,"[37.75821423,-122.5015372]",
37.73743384,-122.4999448,curb_ramp,"[37.73743384,-122.4999448]",
37.75809003,-122.5024695,curb_ramp,"[37.75809003,-122.5024695]",
37.75360676,-122.5033707,curb_ramp,"[37.75360676,-122.5033707]",
37.72917235,-122.466792,curb_ramp,"[37.72917235,-122.466792]",
37.78192879,-122.4588212,curb_ramp,"[37.78192879,-122.4588212]",
37.78247857,-122.4588611,curb_ramp,"[37.78247857,-122.4588611]",
37.78070933,-122.4587379,curb_ramp,"[37.78070933,-122.4587379]",
37.77992081,-122.4586812,curb_ramp,"[37.77992081,-122.4586812]",
37.80564543,-122.4402614,curb_ramp,"[37.80564543,-122.4402614]",
37.80416525,-122.4243804,curb_ramp,"[37.80416525,-122.4243804]",
37.8083554,-122.4095424,curb_ramp,"[37.8083554,-122.4095424]",
37.80374712,-122.4428475,curb_ramp,"[37.80374712,-122.4428475]",
37.79737385,-122.4113305,curb_ramp,"[37.79737385,-122.4113305]",
37.79730819,-122.4113208,curb_ramp,"[37.79730819,-122.4113208]",
37.79710163,-122.4113546,curb_ramp,"[37.79710163,-122.4113546]",
37.79704142,-122.4113413,curb_ramp,"[37.79704142,-122.4113413]",
