loc
"(37.79491, -122.39901)"
"(37.7779, -122.41964)"
"(37.78834, -122.39043)"
"(37.78002, -122.41971)"
"(37.78399, -122.43784)"
"(37.79715, -122.39549)"
"(37.80564, -122.41691)"
"(37.78449, -122.43785)"
"(37.79487, -122.399)"
"(37.71595, -122.44033)"
"(37.79303, -122.39307)"
"(37.78003, -122.41866)"
"(37.77955, -122.42036)"
"(37.79267, -122.39376)"
"(37.72395, -122.43564)"
"(37.78474, -122.43475)"
"(37.77577, -122.49754)"
"(37.80305, -122.40202)"
"(37.80031, -122.40148)"
"(37.80682, -122.41971)"
"(37.8063, -122.4237)"
"(37.78975, -122.39421)"
"(37.76962, -122.44945)"
"(37.77622, -122.39266)"
"(37.77616, -122.39273)"
"(37.71951, -122.47171)"
"(37.78222, -122.45111)"
"(37.77123, -122.40567)"
"(37.77136, -122.4052)"
"(37.79446, -122.4341)"
"(37.76674, -122.41068)"
"(37.77483, -122.40389)"
"(37.775, -122.40401)"
"(37.77504, -122.40396)"
"(37.77084, -122.42675)"
"(37.78592, -122.44155)"
"(37.78614, -122.43984)"
"(37.7282, -122.47505)"
"(37.7554, -122.4185)"
"(37.75354, -122.48833)"
"(37.76681, -122.39968)"
"(37.73552, -122.47502)"
"(37.7536, -122.42324)"
"(37.76667, -122.45784)"
"(37.76905, -122.44302)"
"(37.76976, -122.44278)"
"(37.7937, -122.39669)"
"(37.77446, -122.42071)"
"(37.78511, -122.4282)"
"(37.77685, -122.45268)"
"(37.78699, -122.40991)"
"(37.76488, -122.43324)"
"(37.78476, -122.4217)"
"(37.80261, -122.44946)"
"(37.80268, -122.44948)"
"(37.76356, -122.45732)"
"(37.77852, -122.51373)"
"(37.77689, -122.51231)"
"(37.78887, -122.40344)"
"(37.79371, -122.3954)"
"(37.78245, -122.41053)"
"(37.73069, -122.5014)"
"(37.78835, -122.39594)"
"(37.78818, -122.39988)"
"(37.72536, -122.39412)"
"(37.73259, -122.39133)"
"(37.78125, -122.40034)"
"(37.78283, -122.46341)"
"(37.78256, -122.40639)"
"(37.77985, -122.46427)"
"(37.76396, -122.46424)"
"(37.7812, -122.4653)"
"(37.78307, -122.46544)"
"(37.77401, -122.40426)"
"(37.77586, -122.40658)"
"(37.76358, -122.46534)"
"(37.76427, -122.46519)"
"(37.77888, -122.4152)"
"(37.77653, -122.41215)"
"(37.7723, -122.40697)"
"(37.77811, -122.41413)"
"(37.76357, -122.4661)"
"(37.76387, -122.46744)"
"(37.7757, -122.41659)"
"(37.77638, -122.41744)"
"(37.78259, -122.46984)"
"(37.7825, -122.4731)"
"(37.73781, -122.46892)"
"(37.76771, -122.42829)"
"(37.76663, -122.42129)"
"(37.79304, -122.40776)"
"(37.77877, -122.4061)"
"(37.76452, -122.42737)"
"(37.76497, -122.42213)"
"(37.73947, -122.47355)"
"(37.78069, -122.47718)"
"(37.76087, -122.4363)"
"(37.761, -122.43407)"
"(37.76157, -122.42285)"
"(37.78986, -122.41705)"
"(37.73087, -122.47498)"
"(37.72142, -122.47545)"
"(37.75915, -122.43642)"
"(37.75981, -122.42555)"
"(37.76027, -122.41947)"
"(37.78059, -122.47933)"
"(37.75733, -122.41472)"
"(37.76326, -122.4804)"
"(37.74867, -122.47924)"
"(37.75561, -122.41677)"
"(37.75526, -122.42073)"
"(37.76354, -122.48135)"
"(37.76225, -122.48248)"
"(37.75208, -122.41995)"
"(37.75138, -122.43167)"
"(37.7516, -122.42989)"
"(37.75219, -122.41819)"
"(37.77531, -122.48534)"
"(37.75469, -122.48713)"
"(37.74209, -122.42501)"
"(37.74848, -122.4955)"
"(37.75609, -122.3978)"
"(37.79346, -122.3974)"
"(37.79341, -122.39901)"
"(37.78746, -122.44588)"
"(37.78609, -122.45658)"
"(37.78603, -122.45722)"
"(37.79356, -122.39782)"
"(37.79168, -122.41265)"
"(37.79136, -122.41392)"
"(37.75365, -122.41755)"
"(37.7653, -122.41852)"
"(37.72151, -122.44019)"
"(37.8013, -122.4329)"
"(37.75155, -122.42751)"
"(37.79469, -122.40222)"
"(37.76994, -122.44854)"
"(37.78213, -122.48403)"
"(37.78207, -122.48532)"
"(37.78288, -122.46751)"
"(37.80102, -122.41105)"
"(37.72508, -122.48446)"
"(37.77974, -122.4166)"
"(37.77923, -122.41659)"
"(37.77788, -122.41635)"
"(37.80741, -122.41895)"
"(37.78204, -122.41383)"
"(37.71388, -122.41215)"
"(37.7115, -122.40466)"
"(37.76602, -122.46624)"
"(37.77705, -122.44337)"
"(37.78734, -122.40998)"
"(37.78885, -122.41028)"
"(37.77985, -122.42171)"
"(37.78025, -122.42045)"
"(37.78084, -122.41488)"
"(37.78107, -122.41303)"
"(37.78097, -122.41386)"
"(37.79546, -122.40059)"
"(37.78043, -122.40835)"
"(37.71966, -122.45805)"
"(37.74769, -122.41864)"
"(37.76796, -122.41986)"
"(37.71757, -122.4403)"
"(37.72709, -122.4331)"
"(37.80573, -122.40542)"
"(37.71503, -122.43219)"
"(37.73887, -122.41585)"
"(37.72983, -122.39759)"
"(37.77547, -122.41964)"
"(37.796, -122.40651)"
"(37.7807, -122.41692)"
"(37.79711, -122.41181)"
"(37.72396, -122.45694)"
"(37.79777, -122.42895)"
"(37.77112, -122.42036)"
"(37.77229, -122.41984)"
"(37.79443, -122.42672)"
"(37.79655, -122.40934)"
"(37.73898, -122.41628)"
"(37.78528, -122.40872)"
"(37.79785, -122.39857)"
"(37.76061, -122.43724)"
"(37.74657, -122.44003)"
"(37.78093, -122.43889)"
"(37.77428, -122.43754)"
"(37.77702, -122.4381)"
"(37.77261, -122.43721)"
"(37.76129, -122.4262)"
"(37.7251, -122.46107)"
"(37.76218, -122.42584)"
